STATE,CONSTITUENCY,YEAR,% ELECTORS,% VOTES,AGE,CATEGORY,GENERAL VOTES,NAME,PARTY,POSTAL VOTES,SEX,SYMBOL,VOTES
Andhra Pradesh,Adilabad,2014,31.08,40.82,49,ST,425762,GODAM NAGESH,TRS,5085,M,Car,430847
Andhra Pradesh,Adilabad,2014,18.73,24.59,37,ST,257994,NARESH,INC,1563,M,Hand,259557
Andhra Pradesh,Adilabad,2014,13.29,17.45,48,ST,182879,RAMESH RATHOD,TDP,1319,M,Bicycle,184198
Andhra Pradesh,Adilabad,2014,6.81,8.94,55,ST,94363,RATHOD SADASHIV,BSP,57,M,Elephant,94420
Andhra Pradesh,Adilabad,2014,2.96,3.89,44,ST,41028,NETHAWATH RAMDAS,IND,4,M,Auto-,41032
Andhra Pradesh,Adilabad,2014,0.36,0.48,33,ST,5051,PAWAR KRISHNA,IND,4,M,Bat,5055
Andhra Pradesh,Adilabad,2014,0.35,0.45,53,ST,4780,BANKA SAHADEV,IND,7,M,Gas,4787
Andhra Pradesh,Adilabad,2014,0.64,0.84,40,ST,8842,MOSALI CHINNAIAH,IND,17,M,Almirah,8859
Andhra Pradesh,Peddapalle,2014,4.44,6.18,42,SC,63174,DR.JANAPATI SARAT,TDP,160,M,Bicycle,63334
Andhra Pradesh,Peddapalle,2014,0.66,0.92,37,SC,9430,TAGARAM SHANKAR,BSP,19,M,Elephant,9449
Andhra Pradesh,Peddapalle,2014,39.68,55.16,31,SC,563214,BALKA SUMAN,TRS,2282,M,Car,565496
Andhra Pradesh,Peddapalle,2014,19.25,26.76,56,SC,273441,G. VIVEKANAND,INC,897,M,Hand,274338
Andhra Pradesh,Peddapalle,2014,0.65,0.91,44,SC,9288,KALVALA SHANKAR,PPOI,2,M,Television,9290
Andhra Pradesh,Peddapalle,2014,0.60,0.84,37,SC,8609,KALVALA SANJEEV,RPI,0,M,Sewing,8609
Andhra Pradesh,Peddapalle,2014,0.16,0.22,58,SC,2245,BOTHA VENKATA,BCUF,0,M,Chappals,2245
Andhra Pradesh,Peddapalle,2014,0.21,0.29,50,SC,3020,J.V. RAJU,NIP,0,M,Cup &,3020
Andhra Pradesh,Peddapalle,2014,0.27,0.38,42,SC,3861,VENKATA SWAMY,MaSP,5,M,Ring,3866
Andhra Pradesh,Peddapalle,2014,3.23,4.48,57,SC,45976,VELTHURU MALLAIAH,RP(K),1,M,Auto-,45977
Andhra Pradesh,Peddapalle,2014,0.19,0.27,43,SC,2741,KAMILLA JAYA RAO,IND,1,M,Scissors,2742
Andhra Pradesh,Peddapalle,2014,0.23,0.32,65,SC,3263,GADDALA VINAY,IND,3,M,Ceiling Fan,3266
Andhra Pradesh,Peddapalle,2014,0.17,0.23,43,SC,2359,GORRE RAMESH,IND,2,M,Gas,2361
Andhra Pradesh,Peddapalle,2014,0.65,0.90,37,SC,9199,JINNA RAMADEVI,IND,0,F,Battery,9199
Andhra Pradesh,Peddapalle,2014,0.26,0.36,35,SC,3698,THALLAPALLI,IND,1,M,Candles,3699
Andhra Pradesh,Peddapalle,2014,0.51,0.71,30,SC,7255,BUPELLI NARAYANA,IND,3,M,Bat,7258
Andhra Pradesh,Peddapalle,2014,0.19,0.26,33,SC,2671,MOUTAM RAVINDER,IND,3,M,Almirah,2674
Andhra Pradesh,Karimnagar,2014,13.85,19.06,73,GEN,213836,CHENNAMANENI,BJP,992,M,Lotus,214828
Andhra Pradesh,Karimnagar,2014,19.39,26.68,47,GEN,298386,PONNAM PRABHAKAR,INC,2320,M,Hand,300706
Andhra Pradesh,Karimnagar,2014,0.31,0.42,42,GEN,4768,BURLA. RAVI,NCP,1,M,Clock,4769
Andhra Pradesh,Karimnagar,2014,0.73,1.00,53,SC,11289,B. LAXMAN,BSP,39,M,Elephant,11328
Andhra Pradesh,Karimnagar,2014,32.59,44.83,54,GEN,503197,VINOD KUMAR,TRS,2161,M,Car,505358
Andhra Pradesh,Karimnagar,2014,0.24,0.33,61,SC,3771,DR.DHARMAIAH,BMUP,1,M,Cot,3772
Andhra Pradesh,Karimnagar,2014,0.25,0.35,48,GEN,3942,L. PRABHAKAR REDDY,PPOI,1,M,Television,3943
Andhra Pradesh,Karimnagar,2014,0.20,0.27,44,GEN,3071,MEESALA RAJI REDDY,YSRCP,4,M,Ceiling Fan,3075
Andhra Pradesh,Karimnagar,2014,0.13,0.18,41,GEN,2061,RANAVENI LAKSHMAN,NIP,1,M,Cup &,2062
Andhra Pradesh,Karimnagar,2014,0.52,0.71,46,SC,8033,REDDI MALLA,RPI(A),1,M,Sewing,8034
Andhra Pradesh,Karimnagar,2014,2.53,3.49,58,GEN,39300,SHAIK MAHMOOD,WPOI,8,M,Auto-,39308
Andhra Pradesh,Karimnagar,2014,0.16,0.22,49,SC,2445,UPPULETI.LAXMAN,IND,0,M,Bat,2445
Andhra Pradesh,Karimnagar,2014,0.30,0.42,45,GEN,4727,KANDEM PRABHAKAR,IND,1,M,Gas Stove,4728
Andhra Pradesh,Karimnagar,2014,0.11,0.16,34,SC,1772,PULIKOTA RAMESH,IND,1,M,Battery,1773
Andhra Pradesh,Karimnagar,2014,0.18,0.24,26,GEN,2757,MALLESH YADAV,IND,0,M,Coconut,2757
Andhra Pradesh,Karimnagar,2014,0.43,0.60,45,GEN,6713,MOHAMMED AMJAD,IND,0,M,Kite,6713
Andhra Pradesh,Karimnagar,2014,0.25,0.34,41,GEN,3851,SRINIVAS REDDY,IND,0,M,Carrom,3851
Andhra Pradesh,Nizamabad,2014,15.06,21.79,51,GEN,222876,ENDALA,BJP,2457,M,Lotus,225333
Andhra Pradesh,Nizamabad,2014,29.36,42.48,36,GEN,435706,KALVAKUNTLA,TRS,3601,F,Car,439307
Andhra Pradesh,Nizamabad,2014,0.50,0.72,46,SC,7398,TALARI RAMULU,BSP,23,M,Elephant,7421
Andhra Pradesh,Nizamabad,2014,18.19,26.32,56,GEN,270948,MADHU YASKHI GOUD,INC,1175,M,Hand,272123
Andhra Pradesh,Nizamabad,2014,0.32,0.46,39,GEN,4791,ABDUL GANI,BCUF,0,M,Chappals,4791
Andhra Pradesh,Nizamabad,2014,0.24,0.35,53,GEN,3649,BANJA VEERAPPA,PPOI,2,M,Television,3651
Andhra Pradesh,Nizamabad,2014,2.93,4.24,47,GEN,43738,MALIK MOHTASIM,WPOI,76,M,Auto-,43814
Andhra Pradesh,Nizamabad,2014,0.18,0.25,39,GEN,2613,RAPELLY SRINIVAS,AAAP,8,M,Broom,2621
Andhra Pradesh,Nizamabad,2014,0.13,0.19,32,SC,1952,SAGAR SUDDALA,BMUP,26,M,Cot,1978
Andhra Pradesh,Nizamabad,2014,0.24,0.34,46,GEN,3508,SINGAREDDY,YSRCP,21,M,Ceiling Fan,3529
Andhra Pradesh,Nizamabad,2014,0.11,0.15,44,GEN,1599,ABDUL KAREEM KHAN,IND,2,M,Bat,1601
Andhra Pradesh,Nizamabad,2014,0.27,0.39,45,GEN,3988,KANDEM PRABHAKAR,IND,2,M,Gas Stove,3990
Andhra Pradesh,Nizamabad,2014,0.16,0.24,56,GEN,2458,KOTAPATI NARSIMHAM,IND,4,M,Gas,2462
Andhra Pradesh,Nizamabad,2014,0.19,0.27,66,GEN,2817,S. CHANDRAIAH,IND,0,M,Cup &,2817
Andhra Pradesh,Nizamabad,2014,0.21,0.30,40,GEN,3091,CHIRULINGADRULA,IND,0,M,Coconut,3091
Andhra Pradesh,Nizamabad,2014,0.54,0.79,49,ST,8129,BAGWAN B,IND,0,M,Almirah,8129
Andhra Pradesh,Zahirabad,2014,35.19,46.25,58,GEN,505983,B.B. PATIL,TRS,2678,M,Car,508661
Andhra Pradesh,Zahirabad,2014,10.90,14.32,44,GEN,156807,K.MADAN MOHAN RAO,TDP,690,M,Bicycle,157497
Andhra Pradesh,Zahirabad,2014,0.57,0.74,46,GEN,8165,SYED FEROZUDDIN,BSP,15,M,Elephant,8180
Andhra Pradesh,Zahirabad,2014,25.19,33.10,53,GEN,362939,SURESH KUMAR,INC,1091,M,Hand,364030
Andhra Pradesh,Zahirabad,2014,1.25,1.64,30,SC,18027,MARRI DURGESH,RPI(A),0,M,Sewing,18027
Andhra Pradesh,Zahirabad,2014,0.86,1.13,44,GEN,12369,MAHMOOD,YSRCP,14,M,Ceiling Fan,12383
Andhra Pradesh,Zahirabad,2014,0.23,0.30,53,GEN,3270,DR. SUNEEL KUMAR,AAAP,15,M,Broom,3285
Andhra Pradesh,Zahirabad,2014,0.16,0.21,45,GEN,2321,TANDALE AMBAJI RAO,IND,2,M,Slate,2323
Andhra Pradesh,Zahirabad,2014,0.33,0.44,43,GEN,4802,BENJAMIN RAJU,IND,2,M,Grapes,4804
Andhra Pradesh,Zahirabad,2014,0.31,0.40,45,GEN,4426,RAMA RAO,IND,0,M,Balloon,4426
Andhra Pradesh,Medak,2014,42.80,55.09,60,GEN,655484,KALVAKUNTLA,TRS,2008,M,Car,657492
